Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Afghanistan,AFG,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Albania,ALB,31.3042701298034
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Algeria,DZA,22.7134619101122
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,American Samoa,ASM,61.5740740740741
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Andorra,AND,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Angola,AGO,40.7907550532833
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Antigua and Barbuda,ATG,70.8847144857495
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Argentina,ARG,17.6959440658721
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Armenia,ARM,41.3508013620849
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Aruba,ABW,74.5822784810127
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Australia,AUS,24.1697272878614
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Austria,AUT,55.4422065446306
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Azerbaijan,AZE,49.0506275016423
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Bahamas, The",BHS,35.6884057971014
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bahrain,BHR,76.485960757711
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bangladesh,BGD,13.0947573353039
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Barbados,BRB,36.620169203368
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belarus,BLR,65.0945839929757
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belgium,BEL,82.1741393266002
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belize,BLZ,59.6504233120628
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Benin,BEN,29.6305271935478
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bermuda,BMU,50.6492722737967
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bhutan,BTN,33.9390638133457
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bolivia,BOL,24.9672622840166
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bosnia and Herzegovina,BIH,40.5701201211722
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Botswana,BWA,37.1543108714404
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil,BRA,14.122919190471
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,British Virgin Islands,VGB,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brunei Darussalam,BRN,57.946040538108
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bulgaria,BGR,63.9343433467531
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Burkina Faso,BFA,27.6161121175574
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Burundi,BDI,5.17203683849953
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cabo Verde,CPV,50.6492920155385
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cambodia,KHM,61.0912965228197
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cameroon,CMR,19.8500907473186
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Canada,CAN,31.9085326228511
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cayman Islands,CYM,69.4537434442607
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Central African Republic,CAF,15.7553800018083
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Chad,TCD,36.7422534363826
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Channel Islands,CHI,..
